image,query,num_bbox
sa_4101.jpg,"A man in a white shirt is holding a microphone, with a person in a black shirt in the background.",2
sa_4216.jpg,A black cat-shaped clock hanging on a floral wallpapered wall.,2
sa_4332.jpg,"A street scene with a car on the road, a person walking on the sidewalk, and a building with a clock tower in the background.",15
sa_4398.jpg,A mosque with the dome and the archway.,1
sa_4444.jpg,A cat laying on a soft box.,1
sa_4495.jpg,A group of people standing on a boardwalk with a Ferris wheel in the background.,14
sa_4670.jpg,"A group of people in white robes are gathered in a room, with some individuals holding flowers.",3
sa_4677.jpg,"A tropical resort with a pool, waterfall, and palm trees. Two green chair is at the pool side.",2
sa_4753.jpg,"A temple scene with two people sitting on the floor, one wearing a black jacket and the other wearing a white outfit.",2
sa_4782.jpg,A group of people standing at the conner of a wooden pier over the water taking group photo. ,3
sa_4912.jpg,"A man and a woman sitting on a wooden bench, with the woman wearing a green shirt and the man wearing a patterned shirt.",3
sa_5037.jpg,A yellow truck driving through a muddy field.,2
sa_5113.jpg,A parking lot filled with cars,2
sa_5204.jpg,"A black and orange bicycle with a water bottle attached to it, parked on a sidewalk.",2
sa_5278.jpg,"A person wearing a helmet and an orange vest is standing on a boat, with a rope and a metal structure in the foreground.",3
sa_5456.jpg,"A temple scene with a golden Buddha statue, surrounded by various decorations and offerings.",1
sa_5480.jpg,A black SUV is driving on a road with a white car in front of it. There are trees and power lines in the background.,2
sa_5487.jpg,A group of people standing in a yard,2
sa_5572.jpg,A street scene with buildings and a clear blue sky.,1
sa_5619.jpg,"A boat with a blue cover is floating in a canal, surrounded by buildings and a green railing.",1
sa_5662.jpg,A person is hiking in a rocky area with a mountain and sheeps in the background.,3
sa_5790.jpg,"A construction site with a person wearing a yellow helmet and a yellow shirt, standing on a wooden platform.",2
sa_5823.jpg,"A group of people standing in a park with bicycles, including a person wearing a red shirt and a person wearing a white shirt.",2
sa_5824.jpg,"A meal on a tray, including rice, meat, vegetables, and soup.",5
sa_5858.jpg,"A statue of a man holding a sword, standing on a pedestal.",6
sa_5889.jpg,"A round clock with a red star and a red second hand, mounted on a wall.",1
sa_5900.jpg,"A large golden Buddha statue sitting on a pedestal, surrounded by various offerings and decorations.",1
sa_6006.jpg,"A classroom scene with students sitting at desks, one student sleeping on a desk.",3
sa_6235.jpg,A person wearing a black jacket and a hat is walking on a brick sidewalk.,1
sa_6249.jpg,A group of people working in a kitchen.,10
sa_6311.jpg,A street scene with a bicycle and a traffic sign.,2
sa_6460.jpg,A group of people in military uniforms are walking near a tank. One of the soldier is pushing a bike that carry a bag.,6
sa_6467.jpg,A train track with a green fence and trees in the background. A bird is flying on the sky.,1
sa_6543.jpg,"A dress with a floral pattern and ruffles, displayed on a mannequin. A potted plant is behind on it.",4
sa_6654.jpg,A plane in the sky.,1
sa_6685.jpg,A boat in the water.,1
sa_6770.jpg,"A busy subway station features a sleek, modern design highlighted by a striking curved red ceiling, as a train pulls into the platform where passengers eagerly wait in organized groups, ready to board and continue their urban commutes.",4
sa_6815.jpg,A street scene with people walking and a scooter that hanging a handbag in the foreground.,3
sa_6931.jpg,"A subway station with a train arriving, people waiting on the platform, and a red ceiling with a curved design.",11
sa_7014.jpg,"A street scene with a billboard that have two person picture, a car, and some motorcycle.",7
sa_7068.jpg,A group of people standing in front of a building with statues and a chandelier inside.,12
sa_7227.jpg,"A street scene with a sidewalk, a road, and palm trees in the background. A no u-turn sign is show. Cars is slowly passing through on the road.",1
sa_7303.jpg,A red box of Pocky ChocoRich cookies.,1
sa_7409.jpg,A close-up of a tray of colorful coffee pods.,6
sa_7475.jpg,"A church with a cross on top, surrounded by trees and a car parked in front. A potted plat is next to car.",3
sa_7551.jpg,"A building with a teepee design, painted with Native American symbols. The teepee logo is located at the top of stand with a flower design.",1
sa_7580.jpg,"A street scene with a tram, buildings, and a streetlight. Cars park at the streetside.",6
sa_7697.jpg,"A snowy street with a green sign, a person walking. There is a roof cover at the dioor entry.",3
sa_7762.jpg,A modern building with a glass facade and a water body in the foreground. A huge boat is dock at the marina.,1
sa_7807.jpg,A person wearing white cap with yellow shirt is standing in front of the staircase.,1
sa_7923.jpg,A security women is standing in front of a door.,1
sa_8093.jpg,"A street scene with a bus, a car driving on the raod.",2
sa_8166.jpg,"A large building with columns and statues, surrounded by people walking on the sidewalk.",15
sa_8271.jpg,A group of people walking on a street.,22
sa_8329.jpg,"A street scene with a tall building, a tree, and a sign that says ""VA BENE"". A few people is passing by in between the bulding.",3
sa_8355.jpg,"A boxing ring with two people wearing boxing gloves, one in a blue outfit and the other in a white tank top.",2
sa_8384.jpg,"A dirt path with people walking on it, surrounded by trees and bushes.",7
sa_8423.jpg,A group of people in traditional attire.,10
sa_8458.jpg,A group of people standing on a hill. Two person is carry on with the backpack.,14
sa_8748.jpg,A statue of a man wearing aviator goggles and a hat.,1
sa_8799.jpg,"A group of people standing in a parade, holding a banner for Black Trans Advocacy.",17
sa_8851.jpg,"A street scene with buildings, cars, and pedestrians.",12
sa_8880.jpg,"A group of people sitting on a brick bench while wearing a backpack.One of them is holding phone, Two of them is wearing a tie. ",8
sa_8909.jpg,"A train track with multiple tracks converging and diverging, surrounded by greenery and power lines overhead. Two traffic light is beside the track for manage traffic. ",3
sa_9081.jpg,A large airplane parked on a tarmac with people boarding.,7
sa_9108.jpg,"A large square with a fountain in the center, surrounded by buildings with arches and balconies. A group of people is sitting on the fountain.",6
sa_9174.jpg,A brick building with a row of windows and a door in the center. Two bicycle is park at the road side.,2
sa_9263.jpg,"A street scene with multiple cars, including a four white car is waiting for the traffic light.",6
sa_9347.jpg,A statue of a mermaid sitting on a rock.,2
sa_9396.jpg,"A street scene with a statue of a man, a clock tower, palm trees.",2
sa_9431.jpg,A pagoda with a red roof and a green sign with white text.,1
sa_9569.jpg,A man in a red shirt and apron is working on a pottery wheel.,3
sa_9602.jpg,"A stack of white pots with floral designs, including red roses and blue flowers.",6
sa_9679.jpg,A car driving through a desert landscape.,1
sa_9726.jpg,"A street scene with tall black light poles, a building with balconies, and a sidewalk with bollards. A person is walking on the sidewalk.",1
sa_9843.jpg,"A beach scene with a boat in the water, people on the beach, and mountains in the background.",6
sa_9892.jpg,"A display case with various food items, including a large white bowl, a sign with text.",2
sa_9967.jpg,A child standing in front of a corrugated metal building.,1
sa_10009.jpg,"A gymnast, wearing a white shirt, black pants, and socks, is performing a handstand on a balance beam.",1
sa_10075.jpg,"A person wearing a silver hat, a grey jacket, and a dark blue shirt.",1
sa_10151.jpg,"A person wearing a mask is standing behind a white helicopter with the word 'POLIS' written on it, parked on a concrete surface.",2
sa_10180.jpg,A person wearing a black and white plaid shirt and jeans is standing between two umbrellas.,3
sa_10241.jpg,"A person wearing a black shirt and dark blue pants is jumping high in front of a temple gate for a photo shoot, while at the bottom, there is a person wearing a white shirt and jeans.",2
sa_10246.jpg,Some birds are swimming in the pond while a white van is passing by in the background.,2
sa_10297.jpg,"A vintage car with a green and white stripe on the hood, parked in front of a motel with a life ring on the balcony.",1
sa_10362.jpg,"A person is using the laptop that displaying a bar graph. A smartphone, a notebook, a pen and a clock are on a wooden desk.",5
sa_10414.jpg,City buildings that look similar to a train are in the background.,1
sa_10468.jpg,"A shop with colorful decorations, including two people standing in front, and a motorcycle parked at the roadside.",3
sa_10530.jpg,There is a wheel chair leaving at the door side for ease of use.,1
sa_10627.jpg,A man wearing a green shirt and a black cap is holding three Amazon boxes.,1
sa_10703.jpg,Two children are standing on the rock wearing jackets of the same design,2
sa_10778.jpg,"Three person is passing by large white building with a gold dome and green domes, surrounded by trees.",3
sa_10993.jpg,"A skate park with a concrete bowl, surrounded by palm trees and people in the background. Two person is ready to jump off to the concrete bowl.",2
sa_11067.jpg,"A large metallic sculpture in the shape of a ring, with people walking around it. A person who pushing a baby wheel chair with hat on.",1
sa_11138.jpg,"A night scene with a Ferris wheel, a building with neon lights, and a couple is sitting on the bench.",3
sa_11143.jpg,"A large building with a blue roof, that has more than 10 cars park at the front.",13
